grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
14,.0097931806370283,.1030368341448663,.093243653507838,0,.0676611841913094,.0184521662829388,.0314949382767494,.1038274301058695,.7256384927647849,-.2254508678587982,1060,60
15,.0117560259085849,.1030368341448663,.0912808082362814,0,.0662368681069266,.0180637350495423,.0308319474098237,.1016417888040295,.7256384927647849,-.2254508678587982,1060,60
16,.0137188711801415,.1030368341448663,.0893179629647248,0,.0648125520225438,.0176753038161459,.0301689565428978,.0994561475021898,.7256384927647849,-.2254508678587982,1060,60
17,.0156817164516981,.1030368341448663,.0873551176931682,0,.06338823593816099,.0172868725827494,.0295059656759722,.0972705062003498,.7256384927647849,-.2254508678587982,1060,60
18,.0176445617232547,.1030368341448663,.0853922724216116,0,.0619639198537781,.0168984413493529,.0288429748090464,.0950848648985098,.7256384927647849,-.2254508678587982,1060,60
19,.0196074069948113,.1030368341448663,.083429427150055,0,.0605396037693953,.0165100101159565,.0281799839421206,.09289922359666999,.7256384927647849,-.2254508678587982,1060,60
20,.0215702522663679,.1030368341448663,.0814665818784984,0,.0591152876850125,.01612157888256,.0275169930751949,.09071358229483011,.7256384927647849,-.2254508678587982,1060,60
21,.0235330975379245,.1030368341448663,.07950373660694179,0,.0576909716006297,.0157331476491635,.0268540022082692,.0885279409929902,.7256384927647849,-.2254508678587982,1060,60
22,.0254959428094811,.1030368341448663,.07754089133538521,0,.0562666555162469,.0153447164157671,.0261910113413434,.0863422996911504,.7256384927647849,-.2254508678587982,1060,60
23,.0274587880810377,.1030368341448663,.07557804606382861,0,.0548423394318641,.0149562851823706,.0255280204744177,.0841566583893105,.7256384927647849,-.2254508678587982,1060,60
24,.0294216333525943,.1030368341448663,.073615200792272,0,.0534180233474813,.0145678539489741,.0248650296074921,.0819710170874705,.7256384927647849,-.2254508678587982,1060,60
25,.0313844786241509,.1030368341448663,.0716523555207154,0,.0519937072630984,.0141794227155776,.0242020387405663,.0797853757856305,.7256384927647849,-.2254508678587982,1060,60
26,.0333473238957075,.1030368341448663,.0696895102491588,0,.0505693911787156,.0137909914821812,.0235390478736405,.0775997344837908,.7256384927647849,-.2254508678587982,1060,60
27,.0353101691672641,.1030368341448663,.0677266649776022,0,.0491450750943328,.0134025602487847,.0228760570067148,.0754140931819508,.7256384927647849,-.2254508678587982,1060,60
28,.0372730144388207,.1030368341448663,.0657638197060456,0,.04772075900995,.0130141290153882,.0222130661397891,.0732284518801109,.7256384927647849,-.2254508678587982,1060,60
29,.0392358597103773,.1030368341448663,.063800974434489,0,.0462964429255672,.0126256977819918,.0215500752728633,.0710428105782711,.7256384927647849,-.2254508678587982,1060,60
30,.0411987049819339,.1030368341448663,.0618381291629324,0,.0448721268411844,.0122372665485953,.0208870844059376,.06885716927643119,.7256384927647849,-.2254508678587982,1060,60
