grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
22,.0131558654011066,.0041231435658208,0,.009032721835285799,-.007265556309416,.0029488532552261,-.0130453086896592,-.0014858039291728,3.380271891177528,-.8043595764272844,1060,60
23,.0148659268269523,.0041231435658208,0,.0107427832611315,-.008641060593573901,.0035071257553868,-.015515027074132,-.0017670941130158,3.380271891177528,-.8043595764272844,1060,60
24,.016575988252798,.0041231435658208,0,.0124528446869772,-.0100165648777317,.0040653982555476,-.017984745458605,-.0020483842968584,3.380271891177528,-.8043595764272844,1060,60
25,.0182860496786437,.0041231435658208,0,.0141629061128229,-.0113920691618896,.0046236707557083,-.0204544638430779,-.0023296744807013,3.380271891177528,-.8043595764272844,1060,60
26,.0199961111044894,.0041231435658208,0,.0158729675386686,-.0127675734460475,.0051819432558691,-.0229241822275509,-.0026109646645441,3.380271891177528,-.8043595764272844,1060,60
27,.0217061725303351,.0041231435658208,0,.0175830289645143,-.0141430777302054,.0057402157560299,-.025393900612024,-.0028922548483868,3.380271891177528,-.8043595764272844,1060,60
28,.0234162339561808,.0041231435658208,0,.01929309039036,-.0155185820143633,.0062984882561906,-.0278636189964969,-.0031735450322297,3.380271891177528,-.8043595764272844,1060,60
29,.0251262953820265,.0041231435658208,0,.0210031518162057,-.0168940862985212,.0068567607563514,-.0303333373809699,-.0034548352160725,3.380271891177528,-.8043595764272844,1060,60
30,.0268363568078722,.0041231435658208,0,.0227132132420514,-.018269590582679,.0074150332565121,-.0328030557654427,-.0037361253999153,3.380271891177528,-.8043595764272844,1060,60
31,.0285464182337179,.0041231435658208,0,.0244232746678971,-.0196450948668369,.0079733057566729,-.0352727741499158,-.004017415583758,3.380271891177528,-.8043595764272844,1060,60
32,.0302564796595636,.0041231435658208,0,.0261333360937428,-.0210205991509948,.008531578256833599,-.0377424925343887,-.0042987057676009,3.380271891177528,-.8043595764272844,1060,60
33,.0319665410854093,.0041231435658208,0,.0278433975195885,-.0223961034351527,.009089850756994399,-.0402122109188617,-.0045799959514437,3.380271891177528,-.8043595764272844,1060,60
34,.033676602511255,.0041231435658208,0,.0295534589454342,-.0237716077193106,.009648123257155101,-.0426819293033346,-.0048612861352866,3.380271891177528,-.8043595764272844,1060,60
35,.0353866639371007,.0041231435658208,0,.0312635203712799,-.0251471120034685,.0102063957573159,-.0451516476878077,-.0051425763191293,3.380271891177528,-.8043595764272844,1060,60
36,.0370967253629464,.0041231435658208,0,.0329735817971256,-.0265226162876264,.0107646682574766,-.0476213660722805,-.0054238665029723,3.380271891177528,-.8043595764272844,1060,60
37,.0388067867887921,.0041231435658208,0,.0346836432229713,-.0278981205717843,.0113229407576374,-.0500910844567536,-.005705156686815,3.380271891177528,-.8043595764272844,1060,60
38,.0405168482146378,.0041231435658208,0,.036393704648817,-.0292736248559421,.0118812132577982,-.0525608028412266,-.0059864468706576,3.380271891177528,-.8043595764272844,1060,60
39,.0422269096404835,.0041231435658208,0,.0381037660746627,-.0306491291401,.0124394857579589,-.0550305212256994,-.0062677370545006,3.380271891177528,-.8043595764272844,1060,60
40,.0439369710663292,.0041231435658208,0,.0398138275005084,-.0320246334242579,.0129977582581197,-.0575002396101725,-.0065490272383433,3.380271891177528,-.8043595764272844,1060,60
41,.0456470324921749,.0041231435658208,0,.0415238889263541,-.0334001377084158,.0135560307582804,-.0599699579946454,-.0068303174221862,3.380271891177528,-.8043595764272844,1060,60
42,.0473570939180206,.0041231435658208,0,.0432339503521998,-.0347756419925737,.0141143032584412,-.0624396763791185,-.0071116076060289,3.380271891177528,-.8043595764272844,1060,60
43,.0490671553438663,.0041231435658208,0,.0449440117780455,-.0361511462767316,.0146725757586019,-.0649093947635913,-.0073928977898719,3.380271891177528,-.8043595764272844,1060,60
44,.050777216769712,.0041231435658208,0,.0466540732038912,-.0375266505608894,.0152308482587627,-.0673791131480643,-.0076741879737145,3.380271891177528,-.8043595764272844,1060,60
45,.0524872781955577,.0041231435658208,0,.0483641346297369,-.0389021548450473,.0157891207589234,-.0698488315325372,-.0079554781575574,3.380271891177528,-.8043595764272844,1060,60
46,.0541973396214034,.0041231435658208,0,.0500741960555826,-.0402776591292052,.0163473932590842,-.0723185499170102,-.0082367683414002,3.380271891177528,-.8043595764272844,1060,60
47,.0559074010472491,.0041231435658208,0,.0517842574814283,-.0416531634133631,.0169056657592449,-.07478826830148309,-.008518058525243099,3.380271891177528,-.8043595764272844,1060,60
48,.0576174624730948,.0041231435658208,0,.053494318907274,-.043028667697521,.0174639382594057,-.0772579866859562,-.008799348709085801,3.380271891177528,-.8043595764272844,1060,60
