country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,exposure100,readiness100,lnrgdp,growth,inflation_cpi,debt_gdp,OB_gdp,reserves,gee,rqe,tt,is_advanced,sensitivity,EcoReadiness100,readiness_delta100,vulnerability_delta100,capacity,governance100,social100,id,is_us,G_main,X_main,debt_ratio,G_B,G_X,G_E,G_lnrgdp,G_growth,G_inflation_cpi,G_OB_gdp,G_reserves,G_gee,G_rqe,G_tt,theta_sample_full,sg_G_hat_full,mG_hat_full,theta_hat_full
Lithuania,LTU,2015,-.0075906096,1.372859,36.905514,.36475518,58.909981,.038104333,.028450001,-.0067799999,42.417,.0078400001,.037572507,.011504672,.012638093,1,1,29.615826,67.065529,13.136806,-4.0395479,44.688786,67.85405,41.810356,LTU,0,.1313680648803711,-.0403954792022705,.4241699981689453,.0557223918397649,-.0053066759327176,.0479171826060053,.0050056924875989,.0037374215813081,-.000890675471726,.0010299256408771,.0049358275130167,.0015113465591654,.0016602418175543,.1313680648803711,1,.1070537117491773,-.1070537117491773,-.0454089727166273
Lithuania,LTU,2016,-.0096936496,.86260498,36.60577,.36475518,57.593563,.038362429,.026140001,.00679,39.800999,.014049999,.056090802,.010328595,.011245848,1.0090001,1,29.622961,62.809563,10.977927,-3.7917809,43.813099,68.074272,41.896854,LTU,0,.1097792720794678,-.0379178094863892,.3980099868774414,.043693246639764,-.0041625895242637,.040042558527268,.0042113994809752,.0028696302458355,.0007454012589573,.0015423987085916,.0061576074088933,.0011338655962643,.0012345609721913,.1107672924379654,1,.102408755240509,-.102408755240509,-.0407597073294101
Lithuania,LTU,2017,-.01533448,.79564399,36.764587,.36475518,57.157074,.038822029,.047040001,.0372,39.125,.015149999,.091687351,.0092940284,.011462348,1.002,1,29.30397,63.133457,9.2956791,-2.8233535,44.607609,66.890335,41.447426,LTU,0,.0929567909240723,-.0282335352897644,.39125,.0363693444490433,-.002624498836978,.0339064713272074,.0036087712131033,.0043726874969289,.003457992635119,.0014082953276472,.0085229619605349,.0008639430542564,.0010655030476774,.0931427021123568,1,.1058459253244563,-.1058459253244563,-.0414122182831935
Lithuania,LTU,2018,-.017395161,1.170784,37.130795,.36475518,57.770588,.039294109,.048319999,.025320001,33.342999,.01451,.11342957,.010314474,.010937149,1.0140001,1,29.517344,65.591812,8.6328726,-1.6276714,45.524815,65.98288,41.737076,LTU,0,.0863287258148193,-.0162767136096954,.3334299850463867,.0287845857575088,-.0014051479463777,.0314888502223081,.0033922103402814,.0041714039561435,.0021858434193432,.0012526298223273,.0097922301362812,.0008904353877107,.0009441901117606,.0875373329983256,1,.1197175330123851,-.1197175330123851,-.0399174152421099
Lithuania,LTU,2019,-.01436015,.702685,37.066952,.36475518,58.488087,.039755423,.047230002,.022399999,35.591,.013040001,.095441826,.010076661,.011466241,1.015,1,29.855616,65.313232,7.5884423,-.54644901,45.03054,67.883041,42.267994,LTU,0,.0758844232559204,-.0054644900560379,.3559099960327148,.0270080247799595,-.0004146696762901,.0276792367263427,.0030168173169632,.0035840214271626,.0016998110203236,.0009895329227238,.0072425478968173,.000764661582749,.0008701090480412,.0770226885192238,1,.1223804232482001,-.1223804232482001,-.0435564159527489
Lithuania,LTU,2020,-.0063355304,.26055899,36.967896,.36475518,58.892529,.039760303,.00048000002,.010629999,45.893002,-.05731,.090920538,.010149097,.010801746,1.038,1,30.09618,65.62899,7.6991987,-.45464322,44.515751,68.663857,42.384727,LTU,0,.0769919872283936,-.004546432197094,.4589300155639648,.0353339338970272,-.0003500388496534,.028083226426314,.0030612247216988,.0000369561551768,.0008184247819953,-.0044124107928319,.0070001528781816,.0007813991520007,.0008316478576355,.0799176817885439,1,.1163761208508403,-.1163761208508403,-.05340849495335
Lithuania,LTU,2021,-.012570569,.18291201,36.513557,.36475518,59.288994,.040378269,.063759997,.046279997,43.334999,-.0069499998,.098404743,.010174495,.012701861,.98400003,1,29.890575,65.62899,6.1537023,.35308555,43.367329,70.008911,42.229073,LTU,0,.0615370225906372,.0035308554768562,.4333499908447266,.0266670681762644,.0002172783332436,.0224459479645272,.0024847584398165,.0039236004057407,.0028479331983321,-.0004276822968724,.0060555348793155,.0006261081390034,.0007816346844713,.0605524319017459,1,.1180683260575485,-.1180683260575485,-.0511649080160908
Lithuania,LTU,2022,-.0038386101,2.567996,35.992046,.36475518,59.252605,.040619764,.02444,.18854,38.32,-.00452,.09236265,.0099396156,.012988813,.977,1,29.507439,65.62899,4.1772346,1.0924193,42.254688,68.960228,43.168598,LTU,0,.041772346496582,.0109241926670074,.3831999969482422,.0160071630500111,.0004563291612817,.0152366799098456,.0016967828763434,.0010209161414299,.0078757580724215,-.0001888110044341,.0038582046082311,.0004152010675006,.000542573206466,.0408115824474862,1,.0900425595832964,-.0900425595832964,-.0345043085575311
Lithuania,LTU,2023,.0031937701,4.2813921,35.964264,.36475518,59.838654,.040702056,.0082599996,.08687,37.105999,-.00447,.10531752,.010501212,.013380421,1.025,1,29.416517,65.62899,4.5837779,1.181296,42.254688,70.751884,43.135082,LTU,0,.045837779045105,.0118129599094391,.3710599899291993,.0170085658308535,.0005414798461976,.0167195675049196,.0018656918560134,.0003786200350089,.0039819278549383,-.0002048948743261,.0048275211249362,.0004813522128604,.0006133287962516,.0469837224283748,1,.1127623392359632,-.1127623392359632,-.0418415924612894
Morocco,MAR,1995,,,43.607853,.33830225,35.538361,.060730033,-.063280001,.062870003,72.220001,.021129999,.008925505,,,.75715095,0,33.462776,38.222755,.86911172,-4.5535722,63.530552,49.282055,19.110273,MAR,0,.0086911171674728,-.0455357217788696,.7222000122070312,.0062767249244416,-.0003957562932856,.0029402245334165,.0005278118291093,-.0005499739055057,.0005464105648522,.0001836432997499,.0000775726095815,,,.0065804876029452,0,,,
Morocco,MAR,1996,,,43.230797,.33830225,35.546268,.061992794,.1346,.028169999,65.334999,.051130001,.0082334047,-.0010441105,-.0010256348,.77819991,0,33.077641,38.222755,.70512331,-4.8189135,62.784519,49.282055,19.133995,MAR,0,.0070512330532074,-.0481891345977783,.6533499908447266,.0046069230507571,-.0003397928186813,.0023854480401518,.0004371256400546,.000949095959043,.0001986332273462,.0003605295495493,.0000580556554904,-7.36226654939e-06,-7.23199012764e-06,.0054872689352752,0,,,
Morocco,MAR,1997,,,43.1745,.33830225,36.160667,.061789561,-.02012,.01096,67.956001,.057540003,.0086989161,,,.80577952,0,33.223347,38.222755,1.340749,-4.8890047,62.469925,51.086941,19.17231,MAR,0,.0134074902534485,-.0488900470733643,.6795600128173829,.0091111942484824,-.0006554928296268,.0045357841822991,.0008284429377177,-.0002697587101567,.000146946088295,.0007714670322256,.0001166306323264,,,.0108034810165425,0,,,
Morocco,MAR,1998,,,43.15543,.33830225,36.648621,.06255725,.079790004,.027100001,64.519997,.055770002,.0089017628,.00023913778,.00024582449,.90014231,0,32.975136,38.222755,1.7259738,-4.841311,62.660931,52.891823,18.831287,MAR,0,.017259738445282,-.0484131097793579,.6451999664306641,.011135982665498,-.0008355976121144,.0058390084311711,.0010797217773662,.001377154592645,.0004677389210231,.0009625756528858,.000153642097217,4.12745550771e-06,4.24286632005e-06,.0155362208695121,0,,,
Morocco,MAR,1999,,,43.042171,.33830225,36.030735,.062610053,.0052899998,.0079199998,63.362999,.071869999,.011253208,,,.88314927,0,32.814007,38.222755,1.08211,-4.9376874,62.482281,50.929592,18.939859,MAR,0,.0108211004734039,-.0493768739700317,.6336299896240235,.0068565737806834,-.0005343121142923,.0036608026882369,.0006775096690289,.0000572436189953,.0000857031132694,.0007777124820453,.0001217720935719,,,.0095566469430283,0,,,
Morocco,MAR,2000,,,43.214272,.33830225,35.48196,.06276805,.015930001,.01832,64.860001,.022160001,.0094288047,.000260656,-.00021728376,.85013437,0,33.129917,38.222755,.4774797,-4.7292871,62.682674,48.967358,19.255766,MAR,0,.004774796962738,-.0472928714752197,.6486000061035156,.0030969333391749,-.000225813859079,.0016153245781183,.0002997046922917,.0000760625189235,.0000874742793983,.0001058095059423,.0000450206282363,1.24457948212e-06,-1.03748581712e-06,.0040592190207406,0,,,
Morocco,MAR,2001,,,43.374378,.33830225,35.266304,.06349609,.075520001,.0064300001,60.435001,.00095000002,.015149079,,,.82359993,0,33.576363,38.222755,.11586715,-4.4743266,62.716541,48.026268,19.549889,MAR,0,.0011586714535952,-.0447432661056519,.6043500137329102,.0007002431088922,-.0000518427451772,.0003919811651809,.0000735711074445,.0000875028697418,7.45025752397e-06,1.10073789948e-06,.0000175528056905,,,.0009542817333783,0,,,
Morocco,MAR,2002,,,43.204815,.33830225,35.017921,.063822322,.033160001,.028099999,59.372002,-.01013,.017548222,-.0019508626,-.00078193413,.85870028,0,33.017441,38.222755,-.20473142,-4.5969529,62.766781,47.085175,19.74584,MAR,0,-.002047314196825,-.0459695291519165,.5937200164794922,-.0012155314186777,.0000941140696541,-.0006926110088178,-.0001306643450732,-.0000678889408949,-.000057529526539,.0000207392934295,-.0000359267242237,3.99402866558e-06,1.60086483772e-06,-.0017580292646873,0,,,
Morocco,MAR,2003,,,43.088375,.33830225,34.287628,.064434856,.063170001,.01118,56.929001,-.0058600004,.022505097,-.0021556925,-.0028497428,.8963356,0,32.518486,38.222755,-1.0663214,-4.6280665,62.916409,44.661716,19.978418,MAR,0,-.0106632137298584,-.046280665397644,.5692900085449218,-.0060704610353874,.0004935006266951,-.0036073892469119,-.0006870826430614,-.0006735952210268,-.0001192147335484,.0000624864365421,-.0002399766602947,.0000229866103904,.0000303874162337,-.0095578180957455,0,,,
Morocco,MAR,2004,,,42.442734,.33830225,34.985268,.064903878,.048020002,.01474,54.431,-.0029499999,.025269076,-.0022426653,-.0024466147,.88988817,0,31.448318,38.222755,-.49092889,-5.1942596,62.049656,46.01878,20.71427,MAR,0,-.0049092888832092,-.0519425964355469,.5443099975585938,-.002672175020034,.0002550012112461,-.0016608234980495,-.0003186318851497,-.0002357440595398,-.0000723629159175,.0000144824016074,-.0001240531950158,.0000110098916896,.0000120111382083,-.0043687180874244,0,,,
Morocco,MAR,2005,,,42.018322,.33830225,33.968319,.065197371,.029779999,.0109,54.766998,-.02572,.02439658,-.0040339776,-.0043757437,.84500003,0,31.032804,38.523975,-1.6156468,-5.5486307,61.19194,41.888447,21.49254,MAR,0,-.0161564683914185,-.055486307144165,.5476699829101562,-.0088484127678166,.0008964627675312,-.0054657696844316,-.0010533592628992,-.0004811396058444,-.000176105507248,.0004155443713415,-.0003941625689858,.0000651748320947,.0000706965644501,-.0136522162529889,0,,,
Morocco,MAR,2006,,,41.177319,.33830225,35.269638,.065944739,.077600002,.032340001,50.641998,.01027,.028439868,-.0026964075,-.0021271238,.85300004,0,30.480862,40.574226,-.53236139,-6.2479372,59.220871,42.880287,22.354403,MAR,0,-.0053236138820648,-.0624793720245361,.5064199829101562,-.0026959844511755,.0003326160522525,-.0018009905793313,-.0003510643263184,-.000413112449433,-.0001721656799459,-.0000546735119288,-.0001514028773748,.0000143546323625,.0000113239855978,-.00454104288002,0,,,
Morocco,MAR,2007,,,41.65604,.33830225,35.670834,.066211715,.02706,.019719999,47.066002,.02617,.032915264,-.0034261355,-.0021594551,.83599997,0,31.184587,41.228493,-.25069207,-5.6915379,59.953308,43.14917,22.634834,MAR,0,-.0025069206953049,-.0569153785705566,.4706600189208984,-.0011799073418854,.0001426823404196,-.0008480969235176,-.000165987519459,-.0000678372745813,-.0000494364743153,-.0000656061156839,-.0000825159574357,8.58905003413e-06,5.41358266228e-06,-.0020957856152066,0,,,
Morocco,MAR,2008,,,40.999714,.33830225,36.007076,.066787153,.05923,.03754,41.991001,.029690001,.028567389,-.0035655571,-.0015916205,.986,0,30.48966,41.759678,-.077854209,-6.2416682,58.67926,42.585289,23.676254,MAR,0,-.000778542086482,-.0624166822433472,.4199100112915039,-.0003269176163256,.000048594014025,-.0002633825432177,-.0000519966098224,-.0000461130476116,-.0000292264698736,-.0000231149154507,-.0000222409143678,2.77593623936e-06,1.23914354584e-06,-.000767642498385,0,,,
Morocco,MAR,2009,,,40.420544,.33830225,36.792171,.067202769,.042440001,-.0021899999,42.622002,.0052399999,.028428288,-.0028330304,-.00090557849,.90499997,0,30.680799,41.584774,.6247009,-6.7671971,56.750603,44.649998,24.141741,MAR,0,.0062470090389252,-.067671971321106,.4262200164794922,.0026626002955182,-.0004227474165248,.0021133772428549,.0004198163067574,.0002651230693685,-.0000136809492451,.0000327343264461,.0001775917732007,-.0000176979666377,-5.65715701465e-06,.0056535430014989,0,,,
Morocco,MAR,2010,,,39.651493,.33830225,36.944328,.067577235,.03816,.0098900003,45.276001,-.018660001,.027547333,-.0023058834,-.0011956508,.89199996,0,30.293036,40.208225,.68199831,-7.4745975,54.831219,45.599037,25.025723,MAR,0,.006819983124733,-.0747459745407105,.452760009765625,.0030878156261555,-.0005097662850094,.002307215667955,.0004608756050487,.0002602505560154,.0000674496353943,-.0001272608950424,.0001878723488479,-.0000157260862069,-8.15431814658e-06,.006083424674092,0,,,
Morocco,MAR,2011,,,39.308887,.33830225,35.852116,.068088524,.05246,.0097899996,48.555,-.040199999,.022263989,-.002662065,-.0017663628,.89199996,0,30.319927,38.857586,-.59359705,-7.6980252,53.776508,43.702911,24.995848,MAR,0,-.0059359705448151,-.0769802522659302,.4855500030517578,-.0028822105161501,.000456952509983,-.0020081522190061,-.0004041714731625,-.0003114010142998,-.0000581131491075,.0002386260085777,-.0001321583820385,.0000158019392697,.0000104850776091,-.0052948854882138,0,,,
Morocco,MAR,2012,.028403379,4.6294842,39.208065,.33830225,36.793381,.06838508,.030099999,.01293,52.282001,-.043720003,.018367039,-.0014105627,-.0011085366,1.053,0,30.614847,40.859253,.33324555,-7.7894754,53.179119,43.374664,26.146227,MAR,0,.0033324554562569,-.07789475440979,.5228200149536133,.0017422744114725,-.0002595807993467,.0011273771944618,.0002278902313165,.0001003069064327,.0000430886497188,-.0001456949632696,.0000612073394632,-4.70063723763e-06,-3.69414888503e-06,.0035090755064523,1,-.006913973594406,.006913973594406,.0036147637780162
Morocco,MAR,2013,.029674599,5.315733,39.013241,.33830225,37.527905,.068828642,.04535,.01809,57.076,-.02317,.019271567,-.00085361651,-.00091055746,1.044,0,30.059202,41.957253,.96670467,-7.9186192,53.150288,43.519005,27.107454,MAR,0,.0096670466661453,-.0791861915588379,.5707600021362305,.0055175635758201,-.0007654966091136,.003270383683223,.0006653696977419,.000438400568845,.0001748768778264,-.0002239854706957,.000186299142003,-8.25195065117e-06,-8.80240143140e-06,.0100923970052514,1,-.0291129499692256,.0291129499692256,.0166165073866272
Morocco,MAR,2014,.02047769,4.5774379,38.990063,.33830225,40.526665,.06909208,.026689999,.0052200002,58.563999,-.0222,.020242613,-.0013637953,-.00027915998,1.03,0,30.346851,48.108006,4.0968418,-8.0271778,52.79311,45.760727,27.711258,MAR,0,.0409684181213379,-.0802717781066895,.5856399917602539,.023992744051011,-.0032886077688181,.0138597082209913,.0028305932221926,.0010934470307227,.0002138551494124,-.000909498863491,.0008293078254251,-.0000558725340607,-.0000114367429317,.0421974694928622,1,-.0301719491878401,.0301719491878401,.0176699000737575
Morocco,MAR,2015,.01346262,3.4781821,38.792946,.33830225,40.917561,.069517367,.043449998,.01559,58.394001,-.01983,.021770691,-.0014806583,-.00098493113,1,0,29.759964,49.280502,4.2455983,-8.066926,52.788651,45.708897,27.763287,MAR,0,.0424559831619263,-.0806692600250244,.5839400100708008,.024791747235141,-.0034248927453075,.0143629548282007,.0029514281453265,.0018447123793095,.0006618887760647,-.0008419021314743,.0009242961117099,-.0000628628041,-.0000418162195484,.0424559831619263,1,-.0329615367628083,.0329615367628083,.0192475601092233
Morocco,MAR,2016,.01261122,3.093092,38.821182,.33830225,40.761967,.069569349,.0052100001,.01535,60.084,-.019680001,.023891898,-.0019364809,-.0015564096,1.0040001,0,29.514832,48.221367,4.0666947,-8.0235415,53.118488,45.644043,28.420494,MAR,0,.0406669473648071,-.0802354145050049,.6008399963378906,.0244343285057439,-.0032629293784685,.0137577199843378,.0028291730657372,.0002118747994429,.0006242376421104,-.0008003255583654,.0009716105532096,-.0000787507655566,-.0000632944288798,.040829617907861,1,-.0483283802193197,.0483283802193197,.0290376237939922
